feature,importance,std
family_history,0.0968230930495082,0.022190714530591255
care_options,0.021257324087512828,0.006609975880615944
gender,0.011068107294522478,0.004390440438773814
stigma_score,0.007525667903026468,0.00380903855131644
obs_consequence,0.0050260710638070135,0.0032589647153408834
support_score,0.0023517712196958157,0.00664581602799179
remote_work,0.0019889265172285064,0.0012419853362891891
mental_health_interview,0.001351932484008045,0.0008978655992924422
mental_health_consequence,0.0013331183142504476,0.004424946648982713
wellness_program,0.0012874267591249358,0.0022928221428824866
leave,0.001239047465462669,0.004054481867608285
no_employees,0.0011315379239908404,0.0020080195160001087
mental_vs_physical,0.0009568349190991032,0.0010985389444707282
self_employed,0.00042197495027691546,0.0007613751796786257
tech_company,0.00017470300489178894,0.000546807838387101
region,0.00010213406439828858,0.0025847549851206516
supervisor,-0.00014513788098684531,0.0008777184578366962
seek_help,-0.00020158039025959992,0.0012036448207747566
anonymity,-0.0010616567220340064,0.0029507648168486914
age_group,-0.0025130355319033996,0.001729032875600975
benefits,-0.003249475890985239,0.005332925709919098
coworkers,-0.0034886846207600407,0.0030125532706548885
openness_score,-0.004171370209106021,0.0023084779602668424
Age,-0.004663226361339467,0.002415453142336115
